Date,Predicted
2014-12-01,30.445028043643894
2014-12-02,27.04551962655934
2014-12-03,28.628358869513868
2014-12-04,27.24159512205007
2014-12-05,25.898156136847483
2014-12-06,27.881811323235713
2014-12-07,26.358141327026495
2014-12-08,23.333701566088976
2014-12-09,27.303487639566082
2014-12-10,27.974154959369606
2014-12-11,26.578231119313436
2014-12-12,26.307760817768457
2014-12-13,26.815031891329703
2014-12-14,27.46094220412682
2014-12-15,27.432100290964357
2014-12-16,26.788294323762784
2014-12-17,29.324278336463923
2014-12-18,28.131114383790216
2014-12-19,26.67713536230403
2014-12-20,25.55242453400303
2014-12-21,26.52958360054585
2014-12-22,27.841828756920368
2014-12-23,29.029669953087698
2014-12-24,29.62160999061085
2014-12-25,31.46452159216767
2014-12-26,29.016796309444366
2014-12-27,28.201795638793506
2014-12-28,29.871655761375546
2014-12-29,27.089091958890613
2014-12-30,24.084210233488157
2014-12-31,23.171080605066113
